node_id,x_coord,y_coord
381,6453243.712,1871597.789
382,6453264.779,1871588.647
383,6453295.82,1871576.37
384,6451043.18,1873423.92
385,6451056.691,1873405.349
386,6451071.22,1873387.592
387,6451086.357,1873370.32
388,6451101.493,1873353.048
389,6451116.629,1873335.775
390,6451131.765,1873318.503
391,6451146.902,1873301.231
392,6451162.038,1873283.959
393,6451177.174,1873266.687
394,6451192.571,1873249.657
395,6451208.71,1873233.319
396,6451224.85,1873216.98
397,6451240.989,1873200.642
398,6451257.129,1873184.303
399,6451273.268,1873167.964
400,6451289.408,1873151.626
401,6451305.547,1873135.287
402,6451322.254,1873119.53
403,6451338.974,1873103.786
404,6451355.694,1873088.041
405,6451372.413,1873072.297
406,6451389.133,1873056.553
407,6451405.853,1873040.809
408,6451422.573,1873025.064
409,6451439.437,1873009.478
410,6451456.582,1872994.198
411,6451473.727,1872978.918
412,6451490.872,1872963.637
413,6451508.016,1872948.357
414,6451525.161,1872933.077
415,6451542.333,1872917.827
416,6451559.682,1872902.779
417,6451577.03,1872887.73
418,6451594.378,1872872.681
419,6451611.727,1872857.632
420,6451629.075,1872842.584
421,6451646.375,1872827.48
422,6451663.627,1872812.32
423,6451680.879,1872797.161
424,6451698.131,1872782.002
425,6451715.383,1872766.843
426,6451732.635,1872751.684
427,6451749.887,1872736.524
428,6451767.139,1872721.365
429,6451784.404,1872706.221
430,6451801.705,1872691.117
431,6451819.006,1872676.014
432,6451836.307,1872660.911
433,6451853.608,1872645.808
434,6451870.908,1872630.704
435,6451888.209,1872615.601
436,6451905.51,1872600.498
437,6451922.811,1872585.394
438,6451940.112,1872570.291
439,6451957.413,1872555.188
440,6451974.712,1872540.082
441,6451991.973,1872524.933
442,6452009.234,1872509.785
443,6452026.495,1872494.636
444,6452043.756,1872479.487
445,6452061.017,1872464.338
446,6452078.278,1872449.189
447,6452095.539,1872434.04
448,6452112.8,1872418.891
449,6452130.117,1872403.806
450,6452147.439,1872388.727
451,6452164.76,1872373.647
452,6452182.082,1872358.568
453,6452199.404,1872343.488
454,6452216.725,1872328.409
455,6452234.047,1872313.329
456,6452251.369,1872298.25
457,6452268.69,1872283.17
458,6452285.999,1872268.076
459,6452303.291,1872252.962
460,6452320.582,1872237.848
461,6452337.874,1872222.734
462,6452355.166,1872207.62
463,6452372.457,1872192.506
464,6452389.749,1872177.392
465,6452407.04,1872162.278
466,6452424.332,1872147.164
467,6452441.623,1872132.05
468,6452459.05,1872117.091
469,6452476.489,1872102.148
470,6452493.928,1872087.204
471,6452511.367,1872072.261
472,6452528.806,1872057.318
473,6452546.246,1872042.374
474,6452563.685,1872027.431
475,6452581.124,1872012.487
476,6452598.744,1871997.76
477,6452616.576,1871983.288
478,6452634.408,1871968.816
479,6452652.24,1871954.344
480,6452670.073,1871939.872
481,6452688.04,1871925.572
482,6452706.304,1871911.649
483,6452724.569,1871897.726
484,6452742.833,1871883.803
